iter	Passed	Remaining
812	7884	4723
813	7894	4713
814	7902	4702
815	7911	4692
816	7923	4684
817	7936	4676
818	7947	4667
819	7960	4659
820	7972	4651
821	7982	4642
822	7990	4630
823	7998	4620
824	8007	4610
825	8020	4602
826	8031	4593
827	8041	4583
828	8049	4573
829	8059	4564
830	8070	4554
831	8081	4545
832	8091	4536
833	8103	4528
834	8114	4518
835	8128	4511
836	8141	4503
837	8153	4495
838	8165	4486
839	8175	4477
840	8186	4467
841	8196	4458
842	8206	4448
843	8215	4438
844	8226	4429
845	8235	4419
846	8242	4408
847	8252	4398
848	8262	4389
849	8271	4378
850	8280	4368
851	8289	4358
852	8298	4348
853	8307	4338
854	8315	4328
855	8324	4317
856	8332	4307
857	8339	4296
858	8348	4286
859	8356	4275
860	8364	4265
861	8374	4255
862	8382	4244
863	8392	4234
864	8401	4224
865	8409	4214
866	8416	4203
867	8425	4193
868	8433	4182
869	8442	4172
870	8451	4162
871	8458	4151
872	8466	4140
873	8473	4130
874	8481	4119
875	8488	4108
876	8496	4097
877	8504	4087
878	8514	4078
879	8523	4068
880	8531	4057
881	8539	4047
882	8548	4036
883	8557	4026
884	8565	4016
885	8573	4005
886	8582	3996
887	8592	3986
888	8601	3976
889	8610	3966
890	8619	3956
891	8629	3946
892	8637	3936
893	8645	3926
894	8654	3916
895	8663	3906
896	8671	3895
897	8679	3885
898	8685	3874
899	8692	3863
900	8700	3852
901	8708	3842
902	8715	3831
903	8722	3820
904	8729	3810
905	8736	3799
906	8744	3788
907	8752	3778
908	8759	3767
909	8767	3757
910	8774	3746
911	8781	3736
912	8789	3725
913	8796	3714
914	8805	3704
915	8814	3695
916	8821	3684
917	8829	3674
918	8836	3663
919	8844	3653
920	8853	3643
921	8860	3632
922	8867	3621
923	8875	3611
924	8883	3601
925	8892	3591
926	8901	3581
927	8909	3571
928	8916	3560
929	8923	3550
930	8930	3539
931	8938	3529
932	8948	3520
933	8959	3510
934	8969	3501
935	8979	3491
936	8988	3482
937	8998	3472
938	9008	3463
939	9019	3454
940	9029	3444
941	9040	3435
942	9052	3427
943	9067	3419
944	9077	3409
945	9087	3400
946	9098	3391
947	9108	3382
948	9117	3372
949	9131	3364
950	9145	3356
951	9158	3347
952	9170	3339
953	9180	3329
954	9191	3320
955	9202	3311
956	9214	3302
957	9224	3293
958	9233	3283
959	9243	3273
960	9252	3263
961	9263	3254
962	9272	3244
963	9281	3235
964	9290	3225
965	9299	3215
966	9308	3205
967	9317	3195
968	9327	3186
969	9336	3176
970	9346	3166
971	9356	3157
972	9366	3147
973	9376	3138
974	9385	3128
975	9394	3118
976	9403	3108
977	9413	3099
978	9424	3090
979	9435	3080
980	9444	3071
981	9453	3061
982	9463	3051
983	9472	3042
984	9481	3032
985	9491	3022
986	9501	3013
987	9512	3003
988	9523	2994
989	9533	2985
990	9544	2976
991	9555	2966
992	9565	2957
993	9575	2947
994	9584	2938
995	9594	2928
996	9602	2918
997	9612	2908
998	9621	2899
999	9629	2888
1000	9638	2878
1001	9646	2868
1002	9654	2858
1003	9662	2848
1004	9671	2838
1005	9680	2829
1006	9689	2819
1007	9698	2809
1008	9706	2799
1009	9714	2789
1010	9723	2779
1011	9732	2769
1012	9741	2759
1013	9749	2749
1014	9757	2739
1015	9766	2729
1016	9774	2720
1017	9782	2709
1018	9789	2699
1019	9797	2689
1020	9806	2679
1021	9815	2669
1022	9826	2660
1023	9834	2650
1024	9842	2640
1025	9851	2630
1026	9860	2621
1027	9868	2611
1028	9877	2601
1029	9886	2591
1030	9896	2582
1031	9904	2572
1032	9914	2562
1033	9923	2552
1034	9932	2543
1035	9940	2533
1036	9949	2523
1037	9957	2513
1038	9967	2503
1039	9976	2494
1040	9988	2485
1041	9998	2475
1042	10008	2466
1043	10016	2456
1044	10025	2446
1045	10032	2436
1046	10040	2426
1047	10047	2416
1048	10055	2405
1049	10062	2395
1050	10069	2385
1051	10079	2376
1052	10086	2365
1053	10094	2355
1054	10104	2346
1055	10111	2336
1056	10119	2326
1057	10128	2316
1058	10136	2306
1059	10145	2296
1060	10154	2287
1061	10164	2277
1062	10173	2268
1063	10184	2258
1064	10196	2249
1065	10208	2240
1066	10219	2231
1067	10231	2222
1068	10241	2212
1069	10248	2202
1070	10256	2193
1071	10265	2183
1072	10275	2173
1073	10285	2164
1074	10296	2154
1075	10305	2145
1076	10314	2135
1077	10322	2125
1078	10331	2116
1079	10339	2106
1080	10348	2096
1081	10356	2086
1082	10365	2076
1083	10373	2067
1084	10381	2057
1085	10388	2047
1086	10397	2037
1087	10406	2027
1088	10413	2017
1089	10421	2007
1090	10430	1998
1091	10437	1988
1092	10445	1978
1093	10453	1968
1094	10461	1958
1095	10469	1948
1096	10477	1938
1097	10486	1929
1098	10495	1919
1099	10504	1909
1100	10513	1900
1101	10521	1890
1102	10529	1880
1103	10537	1870
1104	10545	1861
1105	10554	1851
1106	10563	1841
1107	10571	1831
1108	10580	1822
1109	10589	1812
1110	10599	1803
1111	10609	1793
1112	10617	1783
1113	10625	1774
1114	10633	1764
1115	10642	1754
1116	10651	1745
1117	10661	1735
1118	10670	1725
1119	10680	1716
1120	10690	1706
1121	10700	1697
1122	10709	1688
1123	10718	1678
1124	10727	1668
1125	10734	1658
1126	10743	1649
1127	10752	1639
1128	10760	1629
1129	10770	1620
1130	10781	1611
1131	10791	1601
1132	10803	1592
1133	10813	1582
1134	10824	1573
1135	10834	1564
1136	10845	1554
1137	10855	1545
1138	10864	1535
1139	10874	1526
1140	10885	1516
1141	10896	1507
1142	10904	1497
1143	10920	1489
1144	10933	1480
1145	10942	1470
1146	10954	1461
1147	10965	1451
1148	10977	1442
1149	10990	1433
1150	11001	1424
1151	11013	1414
1152	11025	1405
1153	11035	1396
1154	11045	1386
1155	11055	1377
1156	11064	1367
1157	11073	1357
1158	11082	1348
1159	11089	1338
1160	11097	1328
1161	11105	1318
1162	11113	1309
1163	11122	1299
1164	11130	1289
1165	11138	1280
1166	11147	1270
1167	11154	1260
1168	11162	1250
1169	11171	1241
1170	11179	1231
1171	11188	1221
1172	11197	1212
1173	11205	1202
1174	11213	1192
1175	11221	1183
1176	11231	1173
1177	11238	1163
1178	11246	1154
1179	11252	1144
1180	11260	1134
1181	11266	1124
1182	11274	1115
1183	11281	1105
1184	11289	1095
1185	11297	1085
1186	11305	1076
1187	11314	1066
1188	11321	1056
1189	11331	1047
1190	11342	1038
1191	11352	1028
1192	11361	1019
1193	11372	1009
1194	11384	1000
1195	11396	990
1196	11407	981
1197	11419	972
1198	11429	962
1199	11441	953
1200	11452	944
1201	11463	934
1202	11473	925
1203	11483	915
1204	11493	906
1205	11502	896
1206	11511	886
1207	11520	877
1208	11531	867
1209	11543	858
1210	11554	849
1211	11564	839
1212	11574	830
1213	11584	820
1214	11592	811
1215	11604	801
1216	11612	791
1217	11621	782
1218	11630	772
1219	11637	763
1220	11644	753
1221	11652	743
1222	11659	734
1223	11667	724
1224	11673	714
1225	11680	705
1226	11687	695
1227	11694	685
1228	11701	675
